job-id,title,company,location,posted_date,description,requirements,salary_range,source,employment_type,experience_level,application_deadline,remote_option,company_size,industry,benefits,skills_preferred,job_status,application_url,company_website,posted_by,last_updated,keywords,work_hours,timezone,contact_email
JD-1,Azure Cloud Engineer,TechSolutions Inc.,"San Francisco, CA",1/26/25,Design and implement cloud solutions using Azure. Work with modern DevOps and cloud automation tools.,"['3+ years of experience with cloud platforms', 'Proficiency in C#', 'Knowledge of Docker', 'Familiarity with agile methodologies']",$85795 - $112930,Indeed,Part-time,Senior,3/5/25,Hybrid,981 employees,Cybersecurity,"['Professional development stipend', 'Health insurance', 'Paid time off', 'Remote work option']","['Knowledge of Terraform', 'Kubernetes expertise']",Open,https://www.techsolutionsinc..com/careers/JD1001,https://www.techsolutionsinc..com,Joseph James,2/21/25,"['Java', 'Cloud Developer', 'EKS', 'AWS']",40 hours/week,MST,careers@techsolutionsinc..com
JD-2,Azure Cloud Engineer,InnovateTech,"Seattle, WA",2/10/25,Design and implement cloud solutions using AWS. Work with modern DevOps and cloud automation tools.,"['5+ years of experience with cloud platforms', 'Proficiency in C#', 'Knowledge of Kubernetes', 'Familiarity with agile methodologies']",$105748 - $121396,Indeed,Contract,Mid-level,4/17/25,Remote,373 employees,Information Technology,"['401(k) matching', 'Paid time off', 'Health insurance', 'Professional development stipend']",['Kubernetes expertise'],Open,https://www.innovatetech.com/careers/JD1002,https://www.innovatetech.com,Thomas Goodman,2/20/25,"['Docker', 'ECS', 'EKS']",40 hours/week,PST,careers@innovatetech.com
JD-3,Cloud Security Analyst,NextGen IT,"Seattle, WA",1/27/25,Design and implement cloud solutions using AWS. Work with modern DevOps and cloud automation tools.,"['7+ years of experience with cloud platforms', 'Proficiency in Java', 'Knowledge of Ansible', 'Familiarity with agile methodologies']",$90174 - $150739,Indeed,Full-time,Entry-level,3/11/25,On-site,475 employees,Information Technology,"['Professional development stipend', '401(k) matching', 'Paid time off', 'Remote work option']","['Understanding of serverless architecture', 'Experience with CI/CD pipelines', 'Knowledge of Terraform']",Open,https://www.nextgenit.com/careers/JD1003,https://www.nextgenit.com,Rachael Lester,2/15/25,"['Azure', 'EKS', 'DevOps', 'Java', 'ECS', 'Cloud Developer']",40 hours/week,PST,careers@nextgenit.com
JD-4,Cloud Security Analyst,InnovateTech,"Seattle, WA",1/25/25,Design and implement cloud solutions using Azure. Work with modern DevOps and cloud automation tools.,"['2+ years of experience with cloud platforms', 'Proficiency in Go', 'Knowledge of Kubernetes', 'Familiarity with agile methodologies']",$117315 - $118511,Company Website,Part-time,Entry-level,4/4/25,Remote,69 employees,Cloud Computing,"['Health insurance', 'Remote work option', 'Professional development stipend', '401(k) matching']","['Understanding of serverless architecture', 'Kubernetes expertise']",Open,https://www.innovatetech.com/careers/JD1004,https://www.innovatetech.com,Kelli Miller,2/14/25,"['Java', 'DevOps', 'EKS', 'Cloud Developer', 'GCP']",40 hours/week,MST,careers@innovatetech.com
JD-5,Cloud Security Analyst,NextGen IT,"Austin, TX",1/24/25,Design and implement cloud solutions using Azure. Work with modern DevOps and cloud automation tools.,"['5+ years of experience with cloud platforms', 'Proficiency in Java', 'Knowledge of Ansible', 'Familiarity with agile methodologies']",$108498 - $102088,Company Website,Contract,Entry-level,2/24/25,Remote,932 employees,Software Development,"['401(k) matching', 'Remote work option']","['Experience with CI/CD pipelines', 'Kubernetes expertise', 'Knowledge of Terraform']",Open,https://www.nextgenit.com/careers/JD1005,https://www.nextgenit.com,Deanna Smith,2/13/25,"['Azure', 'DevOps', 'Cloud Developer']",40 hours/week,PST,careers@nextgenit.com
JD-6,AWS Cloud Developer,CloudXperts,"Austin, TX",1/30/25,Design and implement cloud solutions using AWS. Work with modern DevOps and cloud automation tools.,"['7+ years of experience with cloud platforms', 'Proficiency in Java', 'Knowledge of Kubernetes', 'Familiarity with agile methodologies']",$114237 - $141539,Glassdoor,Contract,Entry-level,3/13/25,Hybrid,475 employees,Cybersecurity,"['Professional development stipend', 'Remote work option']","['Understanding of serverless architecture', 'Experience with CI/CD pipelines']",Open,https://www.cloudxperts.com/careers/JD1006,https://www.cloudxperts.com,Dr. Eric Cox,2/19/25,"['Azure', 'EKS', 'Java', 'Cloud Developer']",40 hours/week,MST,careers@cloudxperts.com
JD-7,GCP Cloud Architect,CloudXperts,"Austin, TX",2/11/25,Design and implement cloud solutions using Azure. Work with modern DevOps and cloud automation tools.,"['2+ years of experience with cloud platforms', 'Proficiency in Go', 'Knowledge of Kubernetes', 'Familiarity with agile methodologies']",$119967 - $142462,Company Website,Part-time,Mid-level,3/24/25,On-site,418 employees,Cybersecurity,"['Paid time off', 'Professional development stipend']","['Understanding of serverless architecture', 'Knowledge of Terraform']",Open,https://www.cloudxperts.com/careers/JD1007,https://www.cloudxperts.com,Sarah Johnson,2/19/25,"['EKS', 'Python', 'GCP', 'ECS']",40 hours/week,CST,careers@cloudxperts.com
JD-8,AWS Cloud Developer,SkyHigh Systems,"Chicago, IL",2/19/25,Design and implement cloud solutions using GCP. Work with modern DevOps and cloud automation tools.,"['7+ years of experience with cloud platforms', 'Proficiency in C#', 'Knowledge of Kubernetes', 'Familiarity with agile methodologies']",$112038 - $156933,Glassdoor,Contract,Senior,3/28/25,Hybrid,722 employees,Information Technology,"['Professional development stipend', 'Health insurance']","['Knowledge of Terraform', 'Kubernetes expertise']",Open,https://www.skyhighsystems.com/careers/JD1008,https://www.skyhighsystems.com,Janet Salas,2/14/25,"['Azure', 'Docker', 'Cloud Developer', 'ECS', 'Python', 'GCP']",40 hours/week,CST,careers@skyhighsystems.com
JD-9,Azure Cloud Engineer,TechSolutions Inc.,"San Francisco, CA",2/14/25,Design and implement cloud solutions using AWS. Work with modern DevOps and cloud automation tools.,"['5+ years of experience with cloud platforms', 'Proficiency in Go', 'Knowledge of Docker', 'Familiarity with agile methodologies']",$91184 - $142223,Glassdoor,Contract,Senior,4/14/25,On-site,372 employees,Cybersecurity,"['401(k) matching', 'Paid time off', 'Remote work option']","['Kubernetes expertise', 'Knowledge of Terraform', 'Experience with CI/CD pipelines']",Open,https://www.techsolutionsinc..com/careers/JD1009,https://www.techsolutionsinc..com,Lisa Quinn,2/21/25,"['Cloud Developer', 'ECS', 'Azure', 'DevOps', 'EKS']",40 hours/week,CST,careers@techsolutionsinc..com
JD-10,Azure Cloud Engineer,InnovateTech,"Chicago, IL",1/26/25,Design and implement cloud solutions using AWS. Work with modern DevOps and cloud automation tools.,"['5+ years of experience with cloud platforms', 'Proficiency in Python', 'Knowledge of Ansible', 'Familiarity with agile methodologies']",$103003 - $93583,Indeed,Full-time,Entry-level,3/12/25,On-site,679 employees,Software Development,"['401(k) matching', 'Health insurance']","['Understanding of serverless architecture', 'Experience with CI/CD pipelines']",Open,https://www.innovatetech.com/careers/JD1010,https://www.innovatetech.com,Kristen Smith,2/21/25,"['AWS', 'Azure', 'Java', 'Cloud Developer']",40 hours/week,PST,careers@innovatetech.com
