job_id,job_title,company,city,state,location,country,remote_option,post_date,application_deadline,experience_level,employment_type,industry,min_salary,max_salary,salary_avg,required_skills,certifications_required,cloud_platform,job_description,job_availability_status,job_function,currency,job_post_age_days,state_avg_salary,how_much_older
JD-1,AWS DevOps Engineer,Accenture,Alexandria,VA,"Alexandria, VA",USA,On-site,4/30/25,6/26/25,Mid,Part-time,Media & Entertainment,"$175,506","$192,878","$184,192","['DynamoDB', 'Elastic Beanstalk', 'S3', 'EKS', 'Lambda']",['AWS Certified Developer – Associate'],AWS,"Seeking a talented DevOps professional skilled in DynamoDB, Elastic Beanstalk, S3 and AWS best practices.",Expired,DevOps,USD,1,"$149,906",1 day
JD-2,AWS Full Stack Developer,Infosys,New York,NY,"New York, NY",USA,On-site,4/1/25,5/1/25,Entry,Part-time,Cloud Computing,"$201,249","$398,888","$300,068","['SNS', 'Redshift', 'EC2', 'RDS', 'VPC', 'CloudTrail']",['AWS Certified Advanced Networking – Specialty'],AWS,"Seeking a talented Engineering professional skilled in SNS, Redshift, EC2 and AWS best practices.",Active,Architecture,USD,30,"$167,324",30 days
JD-3,AWS Big Data Engineer,Cognizant,Eugene,OR,"Eugene, OR",USA,Remote,4/1/25,5/27/25,Senior,Internship,Consulting Services,"$34,158","$156,303","$95,230","['CloudTrail', 'Redshift', 'AWS KMS', 'ECS', 'Step Functions']","['AWS Certified Developer – Associate', 'AWS Certified Security – Specialty']",AWS,"Seeking a talented Engineering professional skilled in CloudTrail, Redshift, AWS KMS and AWS best practices.",Active,Engineering,USD,30,"$146,376",30 days
JD-4,AWS Database Administrator,Rackspace Technology,Miami,FL,"Miami, FL",USA,Remote,4/30/25,7/1/25,Senior,Internship,Cloud Computing,"$36,762","$157,559","$97,160","['CloudWatch', 'Elastic Beanstalk', 'Step Functions', 'Athena', 'SQS', 'S3', 'EC2', 'EKS', 'AWS CodePipeline', 'AWS CodeBuild']","['AWS Certified Solutions Architect – Associate', 'AWS Certified Developer – Associate']",AWS,"Seeking a talented DevOps professional skilled in CloudWatch, Elastic Beanstalk, Step Functions and AWS best practices.",Active,DevOps,USD,1,"$117,585",1 day
JD-5,AWS Cloud Developer,Slalom,Orlando,FL,"Orlando, FL",USA,Hybrid,11/17/24,1/16/25,Entry,Internship,Cybersecurity,"$28,499","$173,662","$101,080","['AWS CodeBuild', 'SQS', 'DynamoDB', 'AWS KMS', 'API Gateway', 'SNS', 'EC2', 'Step Functions', 'Redshift']",['AWS Certified DevOps Engineer – Professional'],AWS,"Seeking a talented Engineering professional skilled in AWS CodeBuild, SQS, DynamoDB and AWS best practices.",Active,DevOps,USD,165,"$126,056",older than 30 days
JD-6,AWS Serverless Developer,Cognizant,Dallas,TX,"Dallas, TX",USA,Hybrid,11/3/24,1/18/25,Senior,Internship,E-commerce,"$45,612","$240,480","$143,046","['IAM', 'Elastic Beanstalk', 'CloudTrail', 'EC2', 'AWS CodePipeline', 'AWS CLI', 'DynamoDB', 'Athena']","['AWS Certified Advanced Networking – Specialty', 'AWS Certified Developer – Associate']",AWS,"Seeking a talented Architecture professional skilled in IAM, Elastic Beanstalk, CloudTrail and AWS best practices.",Expired,Engineering,USD,179,"$114,086",older than 30 days
JD-7,AWS Cloud Engineer,Booz Allen Hamilton,Grand Rapids,MI,"Grand Rapids, MI",USA,Hybrid,4/30/25,6/21/25,Mid,Part-time,Media & Entertainment,"$208,310","$427,495","$317,902","['CloudFormation', 'SNS', 'VPC', 'API Gateway', 'EKS']","['AWS Certified Solutions Architect – Associate', 'AWS Certified Developer – Associate']",AWS,"Seeking a talented DevOps professional skilled in CloudFormation, SNS, VPC and AWS best practices.",Active,Architecture,USD,1,"$173,075",1 day
JD-8,AWS Networking Engineer,Booz Allen Hamilton,Alexandria,VA,"Alexandria, VA",USA,On-site,3/28/25,6/4/25,Entry,Part-time,Media & Entertainment,"$206,686","$270,440","$238,563","['AWS CodePipeline', 'RDS', 'ECS', 'SQS', 'SNS', 'IAM', 'EKS']","['AWS Certified SysOps Administrator – Associate', 'AWS Certified Advanced Networking – Specialty']",AWS,"Seeking a talented Architecture professional skilled in AWS CodePipeline, RDS, ECS and AWS best practices.",Active,DevOps,USD,34,"$161,561",older than 30 days
JD-9,AWS Cloud Engineer,EPAM Systems,Bellevue,WA,"Bellevue, WA",USA,Hybrid,3/27/25,5/27/25,Entry,Internship,Consulting Services,"$42,494","$69,667","$56,080","['AWS CLI', 'CloudFormation', 'AWS CodePipeline', 'AWS KMS', 'Route 53', 'AWS CodeBuild']",['AWS Certified Developer – Associate'],AWS,"Seeking a talented Engineering professional skilled in AWS CLI, CloudFormation, AWS CodePipeline and AWS best practices.",Active,DevOps,USD,35,"$111,028",older than 30 days
JD-10,AWS Big Data Engineer,Persistent Systems,Chicago,IL,"Chicago, IL",USA,Hybrid,4/30/25,7/17/25,Mid,Part-time,Consulting Services,"$190,087","$386,406","$288,246","['AWS CodePipeline', 'DynamoDB', 'Redshift', 'EC2', 'Elastic Beanstalk']",['AWS Certified Data Analytics – Specialty'],AWS,"Seeking a talented Engineering professional skilled in AWS CodePipeline, DynamoDB, Redshift and AWS best practices.",Active,DevOps,USD,1,"$95,691",1 day
