job_id,job_title,company,city,state,location,country,remote_option,post_date,application_deadline,experience_level,employment_type,industry,min_salary,max_salary,salary_avg,required_skills,certifications_required,cloud_platform,job_description,job_availability_status,job_function,currency,job_post_age_days,job_posted_range,state_avg_salary
JD-1,Cloud Solutions Architect,Webb Group,San Diego,CA,"San Diego, CA",USA,On-site,4/7/2025,5/15/2025,Senior,Full-time,Finance,133284,196786,165035,"['CloudFormation', 'CI/CD', 'Azure DevOps', 'Terraform', 'Python', 'Docker', 'Kubernetes', 'AWS EC2']",['AWS Certified Solutions Architect'],GCP,"We are looking for a Cloud Solutions Architect to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Architecture,USD,4,Posted in Last 5 Days,158378.38
JD-2,Cloud Solutions Architect,Alexander-Brown,Atlanta,GA,"Atlanta, GA",USA,Remote,1/21/2025,2/19/2025,Entry-level,Contract,E-commerce,71826,84333,78079,"['Kubernetes', 'CloudFormation', 'GCP', 'AWS EC2', 'Linux']","['AWS Certified Solutions Architect', 'Google Professional Cloud Architect']",GCP,"We are looking for a Cloud Solutions Architect to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Expired,Architecture,USD,80,Older than 30 Days,158840.08
JD-3,Cloud Solutions Architect,Smith-Oneill,Dallas,TX,"Dallas, TX",USA,Hybrid,3/15/2025,4/9/2025,Entry-level,Full-time,Healthcare,72503,86804,79653,"['AWS EC2', 'CI/CD', 'Docker', 'Python', 'CloudFormation']",['Microsoft Azure Fundamentals'],AWS,"We are looking for a Cloud Solutions Architect to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Expired,Architecture,USD,27,Posted in Last 30 Days,171058.7
JD-4,Cloud Infrastructure Engineer,"Ray, Cunningham and Levine",Portland,OR,"Portland, OR",USA,On-site,3/2/2025,3/27/2025,Senior,Contract,Finance,133900,171693,152796,"['Terraform', 'Kubernetes', 'CI/CD', 'CloudFormation', 'Python', 'Azure DevOps', 'Linux', 'Docker']","['Terraform Associate', 'Google Professional Cloud Architect']",AWS,"We are looking for a Cloud Infrastructure Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Expired,Architecture,USD,40,Older than 30 Days,166068.75
JD-5,Cloud Solutions Architect,Stone-Watts,Seattle,WA,"Seattle, WA",USA,On-site,3/17/2025,4/30/2025,Senior,Full-time,E-commerce,205069,284852,244960,"['CI/CD', 'CloudFormation', 'Terraform', 'Kubernetes', 'Azure DevOps']",['AWS Certified Solutions Architect'],AWS,"We are looking for a Cloud Solutions Architect to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Engineering,USD,25,Posted in Last 30 Days,172275.04
JD-6,Google Cloud Platform Engineer,Reynolds Ltd,Denver,CO,"Denver, CO",USA,Hybrid,3/12/2025,4/18/2025,Entry-level,Full-time,Healthcare,50098,90090,70094,"['Terraform', 'Docker', 'AWS EC2', 'CloudFormation', 'Linux', 'CI/CD']","['AWS Certified Solutions Architect', 'Terraform Associate']",GCP,"We are looking for a Google Cloud Platform Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Operations,USD,30,Posted in Last 30 Days,152551.08
JD-7,Cloud Solutions Architect,Reed-Rhodes,Salt Lake City,UT,"Salt Lake City, UT",USA,On-site,2/4/2025,3/13/2025,Mid-level,Contract,Telecommunications,107873,132769,120321,"['CI/CD', 'CloudFormation', 'Python', 'Terraform', 'GCP', 'Docker']",['AWS Certified Solutions Architect'],GCP,"We are looking for a Cloud Solutions Architect to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Expired,Engineering,USD,66,Older than 30 Days,160070.32
JD-8,Azure DevOps Specialist,Combs PLC,San Francisco,CA,"San Francisco, CA",USA,Hybrid,2/17/2025,3/7/2025,Senior,Contract,Healthcare,236160,394523,315341,"['Azure DevOps', 'AWS EC2', 'GCP', 'Docker', 'Python']",['Microsoft Azure Fundamentals'],GCP,"We are looking for a Azure DevOps Specialist to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Expired,Security,USD,53,Older than 30 Days,158378.38
JD-9,Cloud Infrastructure Engineer,"Brown, Schneider and Moore",Denver,CO,"Denver, CO",USA,Remote,4/7/2025,6/5/2025,Senior,Full-time,E-commerce,150103,209079,179591,"['Docker', 'Terraform', 'Azure DevOps', 'CloudFormation', 'AWS EC2', 'CI/CD', 'Linux']",['Google Professional Cloud Architect'],AWS,"We are looking for a Cloud Infrastructure Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Engineering,USD,4,Posted in Last 5 Days,152551.08
JD-10,Cloud Security Engineer,Christian-Booth,Austin,TX,"Austin, TX",USA,Hybrid,4/3/2025,5/8/2025,Senior,Full-time,Healthcare,207854,350479,279166,"['Python', 'AWS EC2', 'CloudFormation', 'GCP', 'Terraform', 'Docker', 'Azure DevOps']",['AWS Certified Solutions Architect'],GCP,"We are looking for a Cloud Security Engineer to join our growing cloud infrastructure team. You will be responsible for designing, deploying, and maintaining scalable, secure cloud solutions. You will work closely with DevOps, security, and engineering teams to streamline cloud operations. ",Active,Security,USD,8,Posted in Last 10 Days,171058.7
