job_id,job_title,company,city,state,location,country,remote_option,post_date,application_deadline,experience_level,employment_type,industry,min_salary,max_salary,salary_avg,required_skills,certifications_required,cloud_platform,job_description,job_availability_status,job_function,currency,job_post_age_days,state_avg_salary,how_much_older,
JD-1,GCP Site Reliability Engineer,Webb Group,San Diego,CA,"San Diego, CA",USA,On-site,2025-04-07,2025-06-04,Senior,Full-time,Finance,"$133,284","$196,786","$165,035","['CI/CD', 'BigQuery', 'Python', 'Linux', 'gcloud CLI', 'Cloud Functions', 'Terraform']","['Google Associate Cloud Engineer', 'Google Professional Cloud Architect']",GCP,"As a GCP Site Reliability Engineer, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Architecture,USD,4,"$158,378",5 days,
JD-2,GCP System Administrator,Alexander-Brown,Atlanta,GA,"Atlanta, GA",USA,Remote,2025-01-21,2025-06-04,Entry-level,Full-time,E-commerce,"$71,826","$84,333","$78,079","['GKE', 'Docker', 'BigQuery', 'Python', 'Cloud Functions', 'Kubernetes', 'Terraform']","['Google Professional Cloud Architect', 'Google Associate Cloud Engineer']",GCP,"As a GCP System Administrator, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Architecture,USD,80,"$158,840",older than 30 days,
JD-3,AWS Infrastructure Consultant,Smith-Oneill,Dallas,TX,"Dallas, TX",USA,Hybrid,2025-03-15,2025-06-01,Entry-level,Part-time,Healthcare,"$72,503","$86,804","$79,653","['AWS EC2', 'Lambda', 'CI/CD', 'IAM', 'Python', 'Kubernetes', 'Terraform']","['AWS Certified Solutions Architect', 'AWS SysOps Administrator']",AWS,"As a AWS Infrastructure Consultant, you will lead efforts to architect, implement, and maintain solutions on the AWS cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in AWS-specific tools and industry-standard DevOps and security practices.",Active,Architecture,USD,27,"$171,059",30 days,
JD-4,Senior AWS DevOps Engineer,"Ray, Cunningham and Levine",Portland,OR,"Portland, OR",USA,On-site,2025-03-02,2025-05-26,Senior,Contract,Finance,"$133,900","$171,693","$152,796","['Docker', 'Lambda', 'IAM', 'Linux', 'CloudFormation', 'Kubernetes', 'Terraform']","['AWS Certified Solutions Architect', 'AWS SysOps Administrator']",AWS,"As a Senior AWS DevOps Engineer, you will lead efforts to architect, implement, and maintain solutions on the AWS cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in AWS-specific tools and industry-standard DevOps and security practices.",Active,Architecture,USD,40,"$166,069",older than 30 days,
JD-5,AWS Infrastructure Consultant,Stone-Watts,Seattle,WA,"Seattle, WA",USA,On-site,2025-03-17,2025-06-02,Senior,Part-time,E-commerce,"$205,069","$284,852","$244,960","['AWS EC2', 'IAM', 'CI/CD', 'Python', 'Linux', 'CloudFormation', 'Terraform']","['AWS SysOps Administrator', 'AWS Certified Solutions Architect']",AWS,"As a AWS Infrastructure Consultant, you will lead efforts to architect, implement, and maintain solutions on the AWS cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in AWS-specific tools and industry-standard DevOps and security practices.",Active,Engineering,USD,25,"$172,275",30 days,
JD-6,Google Cloud Engineer,Reynolds Ltd,Denver,CO,"Denver, CO",USA,Hybrid,2025-03-12,2025-05-28,Entry-level,Full-time,Healthcare,"$50,098","$90,090","$70,094","['GKE', 'Docker', 'BigQuery', 'Linux', 'Cloud Functions', 'Kubernetes', 'Terraform']","['Google Professional Cloud Architect', 'Google Associate Cloud Engineer']",GCP,"As a Google Cloud Engineer, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Operations,USD,30,"$152,551",30 days,
JD-7,GCP Solutions Architect,Reed-Rhodes,Salt Lake City,UT,"Salt Lake City, UT",USA,On-site,2025-02-04,2025-03-22,Mid-level,Part-time,Telecommunications,"$107,873","$132,769","$120,321","['GKE', 'CI/CD', 'BigQuery', 'Linux', 'Cloud Functions', 'Kubernetes', 'Terraform']","['Google Associate Cloud Engineer', 'Google Professional Cloud Architect']",GCP,"As a GCP Solutions Architect, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Expired,Engineering,USD,66,"$160,070",older than 30 days,
JD-8,GCP Security Specialist,Combs PLC,San Francisco,CA,"San Francisco, CA",USA,Hybrid,2025-02-17,2025-05-22,Senior,Part-time,Healthcare,"$236,160","$394,523","$315,341","['Docker', 'CI/CD', 'BigQuery', 'Python', 'gcloud CLI', 'Cloud Functions', 'Terraform']","['Google Professional Cloud Architect', 'Google Associate Cloud Engineer']",GCP,"As a GCP Security Specialist, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Security,USD,53,"$158,378",older than 30 days,
JD-9,AWS Cloud Engineer,"Brown, Schneider and Moore",Denver,CO,"Denver, CO",USA,Remote,2025-04-07,2025-05-07,Senior,Full-time,E-commerce,"$150,103","$209,079","$179,591","['AWS EC2', 'Docker', 'IAM', 'Python', 'Linux', 'CloudFormation', 'Kubernetes']","['AWS SysOps Administrator', 'AWS Certified Solutions Architect']",AWS,"As a AWS Cloud Engineer, you will lead efforts to architect, implement, and maintain solutions on the AWS cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in AWS-specific tools and industry-standard DevOps and security practices.",Active,Engineering,USD,4,"$152,551",5 days,
JD-10,GCP Site Reliability Engineer,Christian-Booth,Austin,TX,"Austin, TX",USA,Hybrid,2025-04-03,2025-05-16,Senior,Contract,Healthcare,"$207,854","$350,479","$279,166","['GKE', 'Python', 'Linux', 'gcloud CLI', 'Cloud Functions', 'Kubernetes', 'Terraform']","['Google Professional Cloud Architect', 'Google Associate Cloud Engineer']",GCP,"As a GCP Site Reliability Engineer, you will lead efforts to architect, implement, and maintain solutions on the GCP cloud platform. This role includes working with CI/CD pipelines, securing cloud infrastructure, and collaborating with cross-functional teams to improve cloud adoption and operational excellence. You are expected to have expertise in GCP-specific tools and industry-standard DevOps and security practices.",Active,Security,USD,8,"$171,059",10 days,
